,user_id,input_message_kid,stage,total_attempts_in_stage,grade_norm,pre-score_norm,stage_norm,failed_attempts_norm,pos_norm,neg_norm,hel_norm,anxiety_norm,action,output,postive_feedback,reward,grade,completed,pre,post,adjusted_score,anxiety,time_stored
61,92,do you think that the side can hold 3 chocolates,,,-1.,0.,-1.,-0.9,-1.,-1.,1.,-0.5,1,:),True,2.1,2,True,4,6,2,18,"10-30-2020-09:55:25-PDT
"
70,99,I think its 11 what about you?,0,6,-1.,-0.25,-1.,-0.4,-1.,-1.,1.,0.11111111,1,:),True,0.1,2,True,3,6,3,29,"10-30-2020-09:55:25-PDT
"
71,99,I need some help.,0,6,-1.,-0.25,-1.,-0.4,0.148,-1.,1.,0.11111111,3,Hm... let's keep thinking!,True,0.1,2,True,3,6,3,29,"10-30-2020-09:55:25-PDT
"
72,99,I don',0,6,-1.,-0.25,-1.,-0.4,-1.,-1.,-1.,0.11111111,1,:),True,0.1,2,True,3,6,3,29,"10-30-2020-09:55:25-PDT
"
73,99,yay! I am doing it!,2,1,-1.,-0.25,-0.33333333,-0.9,0.14,-1.,-1.,0.11111111,1,:),True,0.1,2,True,3,6,3,29,"10-30-2020-09:55:25-PDT
"
74,99,hmmmmmmmmhow do i do it?,3,2,-1.,-0.25,0.,-0.8,-1.,-1.,1.,0.11111111,1,:),True,0.1,2,True,3,6,3,29,"10-30-2020-09:55:25-PDT
"
75,99,its 30x3 right?,3,2,-1.,-0.25,0.,-0.8,-1.,-1.,-1.,0.11111111,1,:),None,0.0,2,True,3,6,3,29,"10-30-2020-09:55:25-PDT
"
76,99,now it is 90x2,,,-1.,-0.25,0.33333333,-0.9,-1.,-1.,-1.,0.11111111,2,"You’ve just about got it. Don’t give up, yet!",None,3.0,2,True,3,6,3,29,"10-30-2020-09:55:25-PDT
"
170,97,What is the answer,0,3,1.,-0.75,-1.,-0.7,-1.,-1.,1.,-0.22222222,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
"
171,97,Can you help?,0,3,1.,-0.75,-1.,-0.7,0.148,-1.,1.,-0.22222222,3,Hm... let's keep thinking!,True,0.1,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
"
172,97,Tell me the answer,0,3,1.,-0.75,-1.,-0.7,-1.,-1.,-1.,-0.22222222,3,Hm... let's keep thinking!,None,0.0,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
"
173,97,Now,0,3,1.,-0.75,-1.,-0.7,-1.,-1.,-1.,-0.22222222,0,Move your mouse along the height to count how many chocolates would fit along the height.,None,0.01,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
"
174,97,l,0,3,1.,-0.75,-1.,-0.7,-1.,-1.,-1.,-0.22222222,2,This problem doesn’t stand a chance against us!,None,0.0,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
"
175,97,l,,,1.,-0.75,-1.,-0.7,-1.,-1.,-1.,-0.22222222,3,Hm... let's keep thinking!,None,-8,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
"
176,111,evil,0,1,0.,0.,-1.,-0.9,-1.,1.,-1.,-0.38888889,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,3,True,4,5,2,20,"11-01-2020-13:40:53-PST
"
177,111,yes,3,1,0.,0.,0.,-0.9,1.,-1.,-1.,-0.38888889,3,Try thinking about the concept of volume to solve this problem.,None,0.0,3,True,4,5,2,20,"11-01-2020-13:40:53-PST
"
178,111,ok,,,0.,0.,0.,-0.9,1.,-1.,-1.,-0.38888889,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,1.988,3,True,4,5,2,20,"11-01-2020-13:40:53-PST
"
179,145,6x3x5,3,38,0.,-1.,0.,2.8,-1.,-1.,-1.,-0.16666667,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",True,0.11,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
"
180,145,i dont know what volume is,3,38,0.,-1.,0.,2.8,-1.,-1.,1.,-0.16666667,2,You’re doing a great job so far. Just keep trying!,None,0.0,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
"
