UserID,Condition,Gender,Grade,Complete,Anxiety,Pre,ImprovementAbsolute,ImprovementAdjusted,Engagement
45,Online A,boy,2,Y,10,4,0,0,2.71
47,Online A,girl,3,Y,12,8,-1,0,2.86
48,Online A,boy,3,Y,20,8,-1,0,3.14
52,Online A,boy,2,Y,20,7,1,1,2.43
53,Online A,girl,2,Y,12,1,1,1,2.29
58,Online A,girl,4,Y,16,4,-2,0,3
60,Online A,boy,4,Y,9,8,0,0,3.5
65,Online A,boy,2,N,16,4,0,0,3.86
66,Online A,girl,2,N,12,0,0,0,1.57
67,Online A,boy,2,Y,12,4,-1,0,3.86
73,Online A,girl,2,Y,22,0,1,1,3.43
76,Online D,boy,4,Y,9,8,0,0,3.71
79,Online D,boy,3,Y,9,4,2,3,3.86
80,Online D,girl,3,Y,10,1,5,5,3.71
81,Online D,boy,3,Y,9,4,0,0,3
83,Online D,boy,2,Y,12,2,-1,1,3.14
84,Online D,girl,2,Y,15,3,3,4,2.29
85,Online D,girl,3,Y,14,4,3,3,4
86,Online D,girl,2,Y,15,2,0,0,4
88,Online D,boy,4,Y,26,8,-1,0,2.71
90,Online D,girl,4,Y,28,8,0,0,3.29
92,Online D,boy,2,Y,18,4,2,2,3.57
98,Online D,girl,3,Y,13,3,0,0,3
99,Online D,girl,2,Y,29,3,3,3,3.29
103,Online D,boy,2,Y,29,7,0,0,3.57
97,Online D,boy,4,N,23,1,0,0,2.29
111,Online D,boy,3,Y,20,4,1,2,3.14
144,Online D,boy,2,Y,26,8,0,0,3
145,Online D,boy,3,Y,24,0,6,6,2.86
146,Online D,boy,3,Y,13,8,0,0,3.43
148,Online D,boy,4,Y,28,3,5,5,3
105,Online D,girl,3,Y,12,6,1,1,4
152,Online D,girl,3,Y,11,7,1,1,2.86
153,Online D,girl,3,Y,19,3,3,4,2.86
150,Online D,girl,2,Y,13,5,0,1,4
102,Online A,boy,2,Y,27,1,-1,0,1.14
157,Online A,boy,4,Y,16,6,1,2,3
158,Online A,girl,4,Y,12,5,1,1,3.71
155,Online A,girl,4,Y,15,3,4,4,3.86
159,Online D,boy,2,N,10,3,0,1,2.29
160,Online D,girl,4,Y,25,6,1,1,4
161,Online D,boy,2,N,15,1,-1,0,1.86
162,Online D,girl,3,Y,12,7,-1,0,4
179,Online D,boy,4,Y,21,5,0,2,3.29
167,Online D,boy,3,Y,10,7,1,1,3.71
168,Online D,boy,4,Y,17,2,5,5,3.14
170,Online D,boy,4,Y,11,8,0,0,3
163,Online D,boy,2,Y,10,3,1,1,3.71
164,Online D,girl,3,Y,12,1,4,4,4
165,Online D,boy,3,Y,14,8,0,0,3.71
181,Online D,boy,3,Y,10,7,1,1,3.29
194,Online D,girl,4,Y,16,8,0,0,4
171,Online D,girl,3,Y,20,0,5,5,3.57
196,Online D,girl,4,Y,28,8,0,0,3.14
174,Online D,boy,4,Y,11,8,-1,0,3.71
175,Online A,boy,4,Y,9,8,-1,0,3
176,Online D,boy,3,Y,21,7,-2,0,3.57
177,Online D,boy,2,Y,26,4,-2,0,3.29
198,Online D,girl,3,N,15,2,-2,0,2.86
188,Online D,girl,4,Y,34,3,0,0,3.71
195,Online D,girl,2,Y,33,4,3,3,3.57
193,Online D,girl,4,Y,17,5,0,1,3.86
182,Online D,girl,2,N,13,3,-3,0,1.86
183,Online D,girl,4,Y,18,8,0,0,3.14
184,Online D,girl,3,Y,14,6,2,2,3.14
186,Online D,girl,3,Y,16,0,1,1,3.14
199,Online D,boy,2,Y,19,8,0,0,4
202,Online D,girl,3,Y,22,3,3,3,3.14
204,Online D,boy,3,Y,16,3,2,2,3
227,Online D,girl,4,Y,17,8,-1,0,2.71
228,Online D,boy,4,Y,14,8,-1,0,3.43
229,Online D,boy,4,Y,22,7,0,0,3.57
230,Online D,boy,4,Y,21,4,3,3,3.29
231,Online D,girl,2,Y,16,8,-3,0,3.29
224,Online D,boy,3,Y,9,7,1,1,3.86
225,Online D,girl,3,Y,31,7,1,1,3.14
226,Online D,boy,4,Y,28,8,-1,0,3.71
233,Online D,boy,3,Y,13,4,-1,3,3.57
206,Online D,boy,2,Y,19,2,5,5,1
207,Online D,girl,4,Y,17,7,1,1,3.43
208,Online D,girl,4,Y,25,4,0,0,3.57
209,Online D,girl,4,Y,24,2,2,3,3.86
210,Online D,girl,4,Y,19,1,4,4,3.29
211,Online D,girl,3,Y,11,8,0,0,3.86
212,Online D,girl,3,Y,26,4,1,3,4
213,Online D,boy,2,Y,11,3,5,5,3.57
214,Online D,girl,2,Y,13,0,4,4,3.29
215,Online D,girl,3,Y,24,3,4,4,2.86
217,Online D,boy,4,Y,16,7,1,1,3.14
191,Online D,boy,3,Y,12,1,0,0,3.86
219,Online D,girl,4,Y,13,4,3,4,4
222,Online D,boy,2,N,15,4,-2,0,4
223,Online D,girl,4,Y,9,8,0,0,3.86
221,Online D,girl,3,Y,11,8,0,0,3.71
234,Online D,girl,4,Y,13,5,3,3,3.71
238,Online D,girl,4,Y,19,7,1,1,3.43
235,Online D,girl,3,Y,18,8,0,0,3.57
236,Online D,girl,2,Y,28,4,4,4,3.14
240,Online D,boy,4,Y,19,8,0,0,3.86
241,Online D,girl,4,Y,13,8,0,0,3
242,Online D,girl,4,Y,15,6,2,2,2.14
246,Online D,boy,4,Y,16,8,-1,0,3.57
247,Online D,boy,4,Y,16,8,0,0,3.43
249,Online D,girl,3,Y,15,8,0,0,3.71
243,Online D,boy,4,Y,11,3,3,3,3.71
256,Online D,boy,2,Y,11,4,0,0,3.86
257,Online A,girl,4,Y,18,7,0,1,3.71
259,Online A,boy,4,Y,13,8,-1,0,2.71
260,Online A,boy,3,Y,15,7,0,1,2.86
262,Online A,boy,4,Y,12,7,1,1,3
251,Online A,boy,4,Y,14,8,0,0,3.14
252,Online A,boy,4,Y,11,8,0,0,3.43
253,Online A,boy,4,Y,23,8,-1,0,3.71
254,Online D,boy,2,N,16,4,0,0,3.14
264,Online D,girl,3,Y,30,4,-2,0,3.86
265,Online D,boy,3,Y,16,8,0,0,3.57
266,Online D,girl,4,Y,13,8,0,0,3.71
267,Online D,girl,4,Y,13,5,-1,1,3.86
268,Online D,boy,2,Y,19,7,1,1,3.71
269,Online D,boy,4,Y,14,8,0,0,3.71
270,Online D,girl,3,Y,16,6,1,1,3.29
271,Online D,boy,4,Y,11,3,0,3,3
272,Online D,girl,4,Y,11,8,-1,0,3.14
273,Online D,boy,2,Y,9,8,0,0,3.29
274,Online D,boy,2,Y,17,7,-3,1,3.57
275,Online D,boy,3,Y,19,7,0,0,3.71
276,Online D,boy,4,Y,13,6,2,2,3.86
277,Online D,boy,4,Y,13,8,0,0,3.43
278,Online D,girl,3,Y,11,8,0,0,3.43
279,Online D,boy,4,Y,15,3,-1,0,3.57
280,Online D,boy,4,Y,14,7,1,1,3.71
282,Online A,girl,3,Y,26,4,4,4,2.43
283,Online D,girl,4,Y,10,8,0,0,3.71
284,Online D,girl,2,Y,24,3,2,4,3.57
304,Online D,girl,2,Y,15,8,0,0,3.86
305,Online A,boy,3,N,23,8,0,0,
306,Online D,girl,2,Y,19,3,4,5,3.86
308,Online A,girl,3,Y,18,7,1,1,3.71
310,Online D,girl,4,Y,15,8,-1,0,3.86
311,Online D,boy,2,Y,9,8,0,0,1.86
312,Online D,girl,3,Y,9,6,2,2,3.29
285,Online D,boy,3,Y,21,8,0,0,3.43
286,Online D,girl,2,Y,9,4,0,0,3.86
287,Online D,boy,4,Y,13,8,-1,0,3.29
288,Online A,girl,4,Y,19,8,0,0,3.14
289,Online A,boy,3,Y,9,6,2,2,3.14
290,Online D,girl,2,Y,16,3,2,3,4
292,Online D,girl,2,Y,14,4,1,3,3.71
293,Online D,boy,2,Y,23,4,3,3,3.43
294,Online D,boy,2,Y,11,4,-1,0,3.57
296,Online A,girl,3,Y,13,5,-1,0,2.43
299,Online A,girl,3,N,14,8,0,0,3.57
300,Online D,girl,4,Y,15,7,1,1,3.57
301,Online D,boy,3,Y,27,4,-1,0,4
313,Online D,girl,2,Y,20,6,0,1,3.57
314,Online D,girl,2,Y,11,7,1,1,3.29
316,Online D,boy,2,Y,16,2,6,6,3.71
318,Online D,girl,3,Y,13,2,4,4,4
320,Online D,girl,3,Y,17,6,1,1,3.29
321,Online D,boy,3,Y,13,8,0,0,3.86
322,Online D,girl,3,Y,10,8,0,0,4
323,Online D,girl,2,Y,15,3,1,2,2.71
325,Online D,girl,3,Y,26,7,-1,0,3.57
337,Online D,boy,3,Y,13,8,0,0,3.86
339,Online D,boy,2,Y,16,7,0,1,3.57
327,Online D,boy,4,Y,21,6,0,0,3.86
329,Online D,girl,4,Y,13,8,0,0,3.71
330,Online D,boy,2,Y,25,4,0,0,3
331,Online D,girl,3,N,27,3,1,1,3
332,Online A,girl,3,Y,15,8,0,0,3.86
333,Online A,boy,3,Y,11,7,1,1,2.43
334,Online D,boy,2,Y,11,1,6,6,3.71
335,Online D,boy,4,Y,16,8,0,0,2.43
341,Online D,boy,2,Y,25,4,1,1,3.86
