time_stamp,user_id,grade,pre_score,adjusted_improvement,anxiety,complete,user_message,chatbot_message,hint_id,action,positive_feedback,stage,pos,neg,help,failed_attempts,reward
2020-10-29T01:25:08.702317+00:00,80,3,1,5,10,True,:),:),51,nothing,,height,1.0,0.0,0.0,0,0.0
2020-10-29T06:09:17.046865+00:00,84,2,3,4,15,True,I still need help momo,:),51,nothing,,length,0.474,0.0,1,1,0.0
2020-10-28T17:46:42.68321+00:00,86,2,2,0,15,True,can i have some pointers,Hm... let's keep thinking!,88,question,,height,0.0,0.0,1,1,0.0
2020-10-28T17:47:36.845259+00:00,86,2,2,0,15,True,its hard,Hm... let's keep thinking!,88,question,,height,0.0,0.583,1,2,0.0
2020-10-28T17:48:38.842076+00:00,86,2,2,0,15,True,YAY!!!!!!,Hm... let's keep thinking!,88,question,,width,0.0,0.0,0.31748198527243265,0,0.0
2020-10-28T17:23:55.644492+00:00,85,3,4,3,14,True,help,:),51,nothing,True,volume,1.0,0.0,1,7,0.1
2020-10-28T17:29:11.07205+00:00,85,3,4,3,14,True,where do go to get help from you,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",24,hint,True,volume,0.278,0.0,1,30,0.11
2020-10-28T17:39:37.874174+00:00,86,2,2,0,15,True,how do you drop the choclete?,You can move your mouse close to the box to turn it into a chocolate!,40,hint,True,height,0.0,0.296,1,0,0.11
2020-10-28T17:41:46.562256+00:00,86,2,2,0,15,True,,:),51,nothing,,height,0.0,0.0,0.0,0,0.0
2020-10-28T17:42:06.251698+00:00,86,2,2,0,15,True,cute smiley face,Hm... let's keep thinking!,88,question,,height,0.851,0.0,0.4454714568283541,0,0.0
2020-10-28T17:42:19.807702+00:00,86,2,2,0,15,True,ok,Hm... let's keep thinking!,88,question,,height,1.0,0.0,0.44682634883733874,0,0.0
2020-10-28T17:51:26.021186+00:00,86,2,2,0,15,True,i will,:),51,nothing,,length,0.0,0.0,0.48184012063854487,0,0.0
2020-10-28T17:52:26.252225+00:00,86,2,2,0,15,True,and again,Hm... let's keep thinking!,88,question,,length,0.0,0.0,0.4369038359267015,1,0.0
2020-10-28T17:54:43.09616+00:00,86,2,2,0,15,True,i know,:),51,nothing,,volume,0.0,0.0,1,0,0.0
2020-10-28T17:51:14.709836+00:00,86,2,2,0,15,True,YAY!!!!!!!!! i did another,:),51,nothing,,length,0.0,0.0,0.48184012063854487,0,0.0
2020-10-28T17:55:44.116921+00:00,86,2,2,0,15,True,this is fun,:),51,nothing,,weight,0.623,0.0,0.4720829407849336,0,0.0
2020-10-28T17:55:52.387136+00:00,86,2,2,0,15,True,!!!!!!!!,:),51,nothing,,weight,0.0,0.0,0.0,0,0.0
2020-10-28T17:57:33.121786+00:00,86,2,2,0,15,True,wow that is heavy,:),51,nothing,,comparison,0.559,0.0,0.47693481912195934,0,0.0
2020-10-29T01:24:38.430396+00:00,80,3,1,5,10,True,were on the box do i put it?,:),51,nothing,True,height,0.0,0.0,1,0,0.1
2020-10-29T01:25:20.4386+00:00,80,3,1,5,10,True,no thanks,Hm... let's keep thinking!,88,question,True,height,0.569,0.431,0.4683999442673494,0,0.1
2020-10-29T01:27:49.31167+00:00,80,3,1,5,10,True,i need one hot choclate,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",86,encourage,True,height,0.0,0.0,0.48184012063854487,3,0.1
