,Unnamed: 0,user_id,input_message_kid,stage,total_attempts_in_stage,grade_norm,pre-score_norm,stage_norm,failed_attempts_norm,pos_norm,neg_norm,hel_norm,anxiety_norm,action,output,postive_feedback,reward,grade,completed,pre,post,adjusted_score,anxiety,time_stored,action_number,p_hint,p_nothing,p_encourage,p_question
8,170,97,What is the answer,0.0,3.0,1.0,-0.75,-1.0,-0.7,-1.0,-1.0,1.0,-0.22222222,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
",8,0.428,0.121,0.226,0.225
9,171,97,Can you help?,0.0,3.0,1.0,-0.75,-1.0,-0.7,0.14800000000000002,-1.0,1.0,-0.22222222,3,Hm... let's keep thinking!,True,0.1,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
",9,0.364,0.118,0.255,0.263
10,172,97,Tell me the answer,0.0,3.0,1.0,-0.75,-1.0,-0.7,-1.0,-1.0,-1.0,-0.22222222,3,Hm... let's keep thinking!,None,0.0,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
",10,0.525,0.117,0.198,0.16
11,173,97,Now,0.0,3.0,1.0,-0.75,-1.0,-0.7,-1.0,-1.0,-1.0,-0.22222222,0,Move your mouse along the height to count how many chocolates would fit along the height.,None,0.01,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
",11,0.525,0.117,0.198,0.16
12,174,97,l,0.0,3.0,1.0,-0.75,-1.0,-0.7,-1.0,-1.0,-1.0,-0.22222222,2,This problem doesn’t stand a chance against us!,None,0.0,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
",12,0.525,0.117,0.198,0.16
13,175,97,l,,,1.0,-0.75,-1.0,-0.7,-1.0,-1.0,-1.0,-0.22222222,3,Hm... let's keep thinking!,None,-8.0,4,False,1,1,0,23,"10-31-2020-16:37:08-PDT
",13,0.525,0.117,0.198,0.16
14,176,111,evil,0.0,1.0,0.0,0.0,-1.0,-0.9,-1.0,1.0,-1.0,-0.38888889,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,3,True,4,5,2,20,"11-01-2020-13:40:53-PST
",14,0.245,0.188,0.436,0.131
15,177,111,yes,3.0,1.0,0.0,0.0,0.0,-0.9,1.0,-1.0,-1.0,-0.38888889,3,Try thinking about the concept of volume to solve this problem.,None,0.0,3,True,4,5,2,20,"11-01-2020-13:40:53-PST
",15,0.526,0.051,0.308,0.115
16,178,111,ok,,,0.0,0.0,0.0,-0.9,1.0,-1.0,-1.0,-0.38888889,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,1.9880000000000002,3,True,4,5,2,20,"11-01-2020-13:40:53-PST
",16,0.526,0.051,0.308,0.115
17,179,145,6x3x5,3.0,38.0,0.0,-1.0,0.0,2.8,-1.0,-1.0,-1.0,-0.16666667,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",True,0.11,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
",17,0.114,0.436,0.107,0.343
18,180,145,i dont know what volume is,3.0,38.0,0.0,-1.0,0.0,2.8,-1.0,-1.0,1.0,-0.16666667,2,You’re doing a great job so far. Just keep trying!,None,0.0,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
",18,0.094,0.38,0.071,0.455
19,181,145,idk,3.0,38.0,0.0,-1.0,0.0,2.8,-1.0,1.0,-1.0,-0.16666667,0,A unit cube is a cube of which each side is 1 unit long. The volume of a unit cube is one cubic unit.,True,0.11,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
",19,0.1,0.59,0.108,0.202
20,182,145,idk,,,0.0,-1.0,0.0,2.8,-1.0,1.0,-1.0,-0.16666667,3,I think we can use an equation! Think about what equation you can use to solve this problem.,None,5.9750000000000005,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
",20,0.1,0.59,0.108,0.202
21,183,146,What's the answer,,,0.0,1.0,0.0,-0.9,-1.0,-1.0,1.0,-0.77777778,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,-0.0020000000000000018,3,True,8,8,0,13,"11-01-2020-13:40:53-PST
",21,0.263,0.175,0.23,0.332
22,184,144,a little hard,1.0,1.0,-1.0,1.0,-0.66666667,-0.9,-1.0,0.05,1.0,-0.05555556,2,You’re doing a great job so far. Just keep trying!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",22,0.11,0.208,0.376,0.306
23,185,144,is it 5 or 4...,1.0,1.0,-1.0,1.0,-0.66666667,-0.9,-1.0,-1.0,-1.0,-0.05555556,1,:),None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",23,0.272,0.109,0.459,0.16
24,186,144,um... not really helpful but... at least you let my know that it's 5 or 4. :|,1.0,1.0,-1.0,1.0,-0.66666667,-0.9,-1.0,-0.56,1.0,-0.05555556,3,Hm... let's keep thinking!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",24,0.166,0.171,0.376,0.287
25,187,144,Great idea! But... uhhhh... hmmmm... nothing yet🤷🏻‍♂️,1.0,1.0,-1.0,1.0,-0.66666667,-0.9,-0.154,-1.0,-1.0,-0.05555556,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",25,0.259,0.073,0.517,0.151
26,188,144,ok :),1.0,1.0,-1.0,1.0,-0.66666667,-0.9,1.0,-1.0,-1.0,-0.05555556,3,Hm... let's keep thinking!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",26,0.258,0.054,0.541,0.147
27,189,144,"I said, I knew that, \(ºcº)/!",2.0,1.0,-1.0,1.0,-0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",27,0.319,0.126,0.406,0.149
28,190,144,ok I got 6,2.0,1.0,-1.0,1.0,-0.33333333,-0.9,0.376,-1.0,-1.0,-0.05555556,3,Hm... let's keep thinking!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",28,0.3,0.074,0.483,0.143
29,191,144,I know that...   thats why I got the correct answer anyways. hmmmm...,1.0,1.0,-1.0,1.0,-0.66666667,-0.9,-1.0,-1.0,1.0,-0.05555556,0,Move your mouse along the width to count how many chocolates would fit along the width.,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",29,0.183,0.152,0.362,0.303
30,192,144,5?,1.0,1.0,-1.0,1.0,-0.66666667,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,"By sliding the chocolate along the width of the box and using the chocolate as a reference, you will find that the width fits 5 chocolates.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",30,0.272,0.109,0.459,0.16
31,193,144,"Now the length, hmmmm...",2.0,1.0,-1.0,1.0,-0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",31,0.319,0.126,0.406,0.149
32,194,144,I got six,2.0,1.0,-1.0,1.0,-0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,Move your mouse along the length to count how many chocolates would fit along the length.,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",32,0.319,0.126,0.406,0.149
33,195,144,got it!,2.0,1.0,-1.0,1.0,-0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,1,:),None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",33,0.319,0.126,0.406,0.149
34,196,144,🤷🏻‍♂️,2.0,1.0,-1.0,1.0,-0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,"By sliding the chocolate along the length of the box and using the chocolate as a reference, you will find that the length fits 6 chocolates",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",34,0.319,0.126,0.406,0.149
35,197,144,ok got it! thanks!,3.0,1.0,-1.0,1.0,0.0,-0.9,0.48,-1.0,-1.0,-0.05555556,3,Try thinking about the concept of volume to solve this problem.,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",35,0.358,0.07,0.437,0.135
36,198,144,"ok, 6 x 5 x 3 = ... hmmmm... oh I know! 90!",3.0,1.0,-1.0,1.0,0.0,-0.9,-0.284,-1.0,1.0,-0.05555556,2,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",36,0.272,0.122,0.325,0.281
37,199,144,yup,4.0,1.0,-1.0,1.0,0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",37,0.45,0.127,0.302,0.121
38,200,144,90 x 2 = 180!                               ,4.0,1.0,-1.0,1.0,0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,"If you multiply the weight per chocolate with the number of chocolates, you will get how much the box of chocolates weighs.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",38,0.45,0.127,0.302,0.121
39,201,144,,3.0,1.0,-1.0,1.0,0.0,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",39,0.385,0.121,0.359,0.135
40,202,144,"hmmm wait for me, I have to go to the bathroom!",4.0,1.0,-1.0,1.0,0.33333333,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,Weight of the box of chocolates,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",40,0.45,0.127,0.302,0.121
41,203,144," one thing, I forgot how many ounces I weigh and I don't know how much you weigh in the first place",5.0,1.0,-1.0,1.0,0.66666667,-0.9,-1.0,-1.0,1.0,-0.05555556,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",41,0.419,0.168,0.175,0.238
42,204,144,"ummm...  I'm pretty sure that the BOX can go across, but someone has to paddle it across...",5.0,1.0,-1.0,1.0,0.66666667,-0.9,-0.6,-1.0,-1.0,-0.05555556,0,"Remember that, the weight of the box of chocolates can’t be more than 200 ounces.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",42,0.501,0.122,0.265,0.112
43,205,144,smaller,,,-1.0,1.0,0.66666667,-0.9,-1.0,-1.0,-1.0,-0.05555556,0,"Because 180 is smaller than 200, you should be safe to board the boat with the chocolates.",None,-0.14500000000000002,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
",43,0.501,0.158,0.229,0.112
44,230,148,Can I have pointers?,3.0,3.0,1.0,-0.25,0.0,-0.7,-1.0,-1.0,1.0,0.05555556,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,None,0.0,4,True,3,8,5,28,"11-01-2020-13:40:53-PST
",44,0.335,0.197,0.233,0.235
45,231,148,what is 90 divided by 2?,4.0,1.0,1.0,-0.25,0.33333333,-0.9,-1.0,-1.0,1.0,0.05555556,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,0.01,4,True,3,8,5,28,"11-01-2020-13:40:53-PST
",45,0.523,0.159,0.122,0.196
46,232,148,What is the length of the box,,,1.0,-0.25,-0.33333333,-0.1,-1.0,-1.0,1.0,0.05555556,2,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,None,4.988,4,True,3,8,5,28,"11-01-2020-13:40:53-PST
",46,0.242,0.243,0.164,0.351
47,233,153,ok,,,0.0,-0.25,0.0,-0.8,1.0,-1.0,-1.0,-0.44444444,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,3.998,3,True,3,6,4,19,"11-01-2020-13:40:53-PST
",47,0.69,0.026,0.199,0.085
48,235,161,What is the answer?,3.0,14.0,-1.0,-0.75,0.0,0.4,-1.0,-1.0,1.0,-0.66666667,1,:),True,0.1,2,False,1,0,0,15,"11-07-2020-11:18:45-PST
",48,0.042,0.442,0.477,0.039
49,236,161,Is it 10?,,,-1.0,-0.75,0.0,0.4,-1.0,-1.0,-1.0,-0.66666667,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,-8.0,2,False,1,0,0,15,"11-07-2020-11:18:45-PST
",49,0.789,0.051,0.137,0.023
50,237,162,"Thankyou Betty,",1.0,4.0,0.0,0.75,-0.66666667,-0.6,-1.0,-1.0,-1.0,-0.83333333,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
",50,0.71,0.09,0.108,0.092
51,238,162,i am doing math now,3.0,1.0,0.0,0.75,0.0,-0.9,-1.0,-1.0,-1.0,-0.83333333,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
",51,0.862,0.04,0.04,0.058
52,239,162,thanks,3.0,1.0,0.0,0.75,0.0,-0.9,1.0,-1.0,-1.0,-0.83333333,3,Hm… I suggest thinking about the concept of a unit cube and the volume of a unit cube. It may remind you of what you need in order to calculate the volume of the box!,None,0.0,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
",52,0.651,0.039,0.082,0.228
53,240,162,Betty I need help,,,0.0,0.75,0.33333333,-0.9,0.14800000000000002,-1.0,1.0,-0.83333333,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",True,0.07200000000000001,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
",53,0.164,0.262,0.321,0.253
54,241,159,im stuck,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,-1.0,0.33399999999999996,1.0,-0.94444444,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",54,0.011,0.506,0.46,0.023
55,242,159,wats the anser,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,-1.0,-1.0,-1.0,-0.94444444,3,Hm... let's keep thinking!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",55,0.035,0.515,0.427,0.023
56,243,159,wats the anser,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,-1.0,-1.0,-1.0,-0.94444444,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",56,0.035,0.515,0.427,0.023
57,244,159,wats the anser!!!!,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,-1.0,-1.0,-1.0,-0.94444444,2,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",57,0.035,0.515,0.427,0.023
58,245,159,wats the anser!!!!!!!!,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,-1.0,-1.0,-1.0,-0.94444444,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",58,0.035,0.515,0.427,0.023
59,246,159,o        k,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,-1.0,-1.0,-1.0,-0.94444444,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",59,0.035,0.515,0.427,0.023
60,247,159,ya,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,-1.0,-1.0,-1.0,-0.94444444,2,You’re almost there. Just keep trying!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",60,0.035,0.515,0.427,0.023
61,248,159,ok,1.0,66.0,-1.0,-0.25,-0.66666667,5.6,1.0,-1.0,-1.0,-0.94444444,2,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
",61,0.012,0.431,0.502,0.055
